NATIONAL_ID,FIRST_NAME, LAST_NAME,STUDENT_ID,ADDRESS,EMAIL,PHONE,PROGRAM,PROGRAM_BM,DATE_CONVO_LANG1,DATE_CONVO_LANG2,RESULT,BATCH,STATUS,NATIONALITY,RELIGION,GENDER,RACE,ENTRANCE_SESSION,SERIAL_NUMBER,STATUS_DETAIL
C029,Test Recipient Name 15028,Test Recipient Name 15028,43341,"87, JALAN SRI DAMAK 22,TAMAN SRI ANDALAS,KLANG",15028icertrecipient@yopmail.com,129729692,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.43,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2016,234,Robe return date is null
C030,Test Recipient Name 15029,Test Recipient Name 15029,43118,10687-A KAMPUNG BUKIT KANDISKUALA TERENGGANU,15029icertrecipient@yopmail.com,199372812,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.04,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2016,235,Robe return date is null
C031,Test Recipient Name 15030,Test Recipient Name 15030,43727,"NO 1 BLOK D RUMAH MURAH KG BATU 30,ULU YAM LAMA, HULU SELANGORBATANG KALI",15030icertrecipient@yopmail.com,174486232,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.61,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2016,236,All criteria passed
C032,Test Recipient Name 15031,Test Recipient Name 15031,43301,869-C KAMPUNG MERBAU PATAHKUALA TERENGGANU,15031icertrecipient@yopmail.com,145295965,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.02,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2016,237,Robe return date is null
C033,Test Recipient Name 15032,Test Recipient Name 15032,43367,"SEBELAH 7074 UNIT 2, MUKIM 7,PMTG.NIBONGPMTG. PAUH",15032icertrecipient@yopmail.com,142532210,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.33,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2016,238,All criteria passed
C034,Test Recipient Name 15033,Test Recipient Name 15033,43898,71A JALAN REJANG TAMAN SETAPAK JAYAKUALA LUMPUR,15033icertrecipient@yopmail.com,173549217,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.66,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2016,239,Robe return date is null
C035,Test Recipient Name 15034,Test Recipient Name 15034,43012,"163 JALAN TANJONG TOKONG LAMA,GEORGETOWN",15034icertrecipient@yopmail.com,134401320,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,02/11/2019,02/11/2019,3.11,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2016,240,Robe return date is null
C036,Test Recipient Name 15035,Test Recipient Name 15035,44039,"KHAIRUL BIN MANIK, SABAH PORT SDN BHD,BGN. WISMA PLBH, JLN DUNLOP, P.OBOX 335TAWAU",15035icertrecipient@yopmail.com,145646364,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,15/10/2019,15/10/2019,3.37,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,BUGIS,JUL-2016,241,Robe return date is null
C037,Test Recipient Name 15036,Test Recipient Name 15036,44468,NO JLN PJS 2C/17 TAMAN MEDANPETALING JAYA,15036icertrecipient@yopmail.com,1129401529,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,15/10/2019,15/10/2019,3.29,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2016,242,Robe return date is null
C038,Test Recipient Name 15037,Test Recipient Name 15037,43848,"NO,2 KG TANGKUH SIMAT, AIR MAWANG, JOHOLJOHOL",15037icertrecipient@yopmail.com,123514084,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,15/10/2019,15/10/2019,3.46,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2016,243,All criteria passed
C039,Test Recipient Name 15038,Test Recipient Name 15038,43121,40 KAMPUNG KUALA MENJINGKUALA BERANG,15038icertrecipient@yopmail.com,199962915,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,15/10/2019,15/10/2019,3.56,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2016,244,Robe return date is null
C040,Test Recipient Name 15039,Test Recipient Name 15039,43152,"ST 1143 , JLN BIDARA JAYA 3 ,TMN BIDARA JAYA,78300 MASJID TNH,MELAKAMASJID TANAH",15039icertrecipient@yopmail.com,129711814,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,15/10/2019,15/10/2019,3.36,2019,0,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2016,167,Robe return date is null
C041,Test Recipient Name 15040,Test Recipient Name 15040,43883,"8, JALAN TASEK 28, BANDAR SERI ALAMMASAI",15040icertrecipient@yopmail.com,177482955,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,15/10/2019,15/10/2019,3.04,2019,0,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2016,168,Robe return date is null
C042,Test Recipient Name 15041,Test Recipient Name 15041,43723,"NO 21 JALAN UTAMA 1, TAMAN SERTING UTAMABANDAR SERI JEMPOL",15041icertrecipient@yopmail.com,64585894,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,15/10/2019,15/10/2019,3.17,2019,1,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2016,169,All criteria passed
C043,Test Recipient Name 15042,Test Recipient Name 15042,43489,LOT 35034 JALAN BUKIT DURIANKAMPUNG PADANG AIRKUALA TERENGGANU,15042icertrecipient@yopmail.com,199406055,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,15/10/2019,15/10/2019,3.66,2019,0,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2016,170,Robe return date is null
C044,Test Recipient Name 15043,Test Recipient Name 15043,43918,"590, JALAN SATRIA 8A, TAMAN SEROM UTAMASUNGAI MATITANGKAK",15043icertrecipient@yopmail.com,1123318213,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,15/10/2019,15/10/2019,3.34,2019,0,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2016,171,Robe return date is null
C045,Test Recipient Name 15044,Test Recipient Name 15044,42998,24 JALAN BUNGA TANJUNGTAMAN PERTAMASABAK BERNAM,15044icertrecipient@yopmail.com,142693562,MASTER OF EDUCATION,IJAZAH SARJANA MUDA PENTADBIRAN PERNIAGAAN (KEWANGAN ISLAM) DENGAN KEPUJIAN,15/10/2019,15/10/2019,3.12,2019,0,WARGANEGARA,ISLAM,LELAKI,MELAYU,JUL-2016,172,Robe return date is null
C046,Test Recipient Name 15045,Test Recipient Name 15045,39785,"NO 1318A, LORONG ASTANA 42/5,BANDAR SERI ASTANASG. PETANI",15045icertrecipient@yopmail.com,195583767,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.32,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,113,Robe return date is null
C047,Test Recipient Name 15046,Test Recipient Name 15046,40528,"NO 98 JLN SR 3/1C,SAUJANA RAWANG, 48000 RAWANG, SELANGOR.RAWANG",15046icertrecipient@yopmail.com,147211856,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.61,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,114,All criteria passed
C048,Test Recipient Name 15047,Test Recipient Name 15047,41397,460 KAMPUNG SUNGAI DERHAKAKUALA TERENGGANU,15047icertrecipient@yopmail.com,-,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.43,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,115,All criteria passed
C049,Test Recipient Name 15048,Test Recipient Name 15048,41175,"NO. 223, JALAN LAKSAMANA, ASSAM KUMBANGTAIPING",15048icertrecipient@yopmail.com,175847739,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.18,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,116,Robe return date is null
C050,Test Recipient Name 15049,Test Recipient Name 15049,39568,"1180 JLN WARISAN PUTERI A 44/1,TAMAN WARISAN PUTERI, PRESINT 4SEREMBAN",15049icertrecipient@yopmail.com,136458081,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.37,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,117,Robe return date is null
C051,Test Recipient Name 15050,Test Recipient Name 15050,41244,"LOT 909, LORONG SRI MADANI,JALAN DATO' LUNDANG,KOTA BHARU",15050icertrecipient@yopmail.com,139866348,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.16,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,118,Outstanding debt: RM 25.00
C052,Test Recipient Name 15051,Test Recipient Name 15051,40511,SEKOLAH KEBANGSAAN BATU KURAUBATU KURAU,15051icertrecipient@yopmail.com,135170615,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.46,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,119,Robe return date is null
C053,Test Recipient Name 15052,Test Recipient Name 15052,41274,KG. SOMPOLENGGENG,15052icertrecipient@yopmail.com,136799433,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.12,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,120,All criteria passed
C054,Test Recipient Name 15053,Test Recipient Name 15053,39989,"NO 374 JALAN MIEL 5/S1 TAMAN PEDASPERDANA,PEDASREMBAU",15053icertrecipient@yopmail.com,136224493,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.5,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,121,All criteria passed
C055,Test Recipient Name 15054,Test Recipient Name 15054,41319,"NO 14, JLN AMAN PERDANA 5D/KU5TAMAN AMAN PERDANA, MERUKLANG",15054icertrecipient@yopmail.com,185738044,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.54,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,INDONESIA,JUL-2015,122,All criteria passed
C056,Test Recipient Name 15055,Test Recipient Name 15055,40165,KG GONG KEMUNINGPASIR PUTEH,15055icertrecipient@yopmail.com,1119802333,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.33,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,123,All criteria passed
C057,Test Recipient Name 15056,Test Recipient Name 15056,40178,"383-A KAMPUNG SEBERANG BAROH,CHABANG TIGAKUALA TERENGGANU",15056icertrecipient@yopmail.com,145303064,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.51,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,124,All criteria passed
C058,Test Recipient Name 15057,Test Recipient Name 15057,40849,TD-T01-U10 KUARTERS FASA 4CPRESINT 8PUTRAJAYA,15057icertrecipient@yopmail.com,136762816,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.46,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,125,All criteria passed
C059,Test Recipient Name 15058,Test Recipient Name 15058,40878,"LOT 1341,TAMAN SRI AMAN SATUPASIR PUTEH",15058icertrecipient@yopmail.com,139616742,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.22,2019,0,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,126,Outstanding debt: RM 1620.00
C060,Test Recipient Name 15059,Test Recipient Name 15059,39780,"LOT 11,KAMPUNG BUKIT JANA TAMBAHANKAMUNTING",15059icertrecipient@yopmail.com,124534706,MASTER OF EDUCATION,IJAZAH SARJANA MUDA TEKNOLOGI MAKANAN DENGAN KEPUJIAN,14/10/2019,14/10/2019,3.36,2019,1,WARGANEGARA,ISLAM,PEREMPUAN,MELAYU,JUL-2015,127,All criteria passed
