id,issuedOn,name,issuer.name,issuer.did,issuer.url,issuer.email,issuer.identityProof.type,issuer.identityProof.location,issuer.additionalProp,recipient.name,recipient.did,recipient.email,recipient.phone,recipient.additionalProp,recipient.studentId
SERIAL-2018-08-01-102,2018-11-12T00:00:00+08:10,Master of Big Data,Hadoop Academy,DID:SG-UEN:G74859685F,https://hadoopacademy.com,hadoop@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000010,Bev Davidson,DID:SG-NRIC:S36524525A,11recipient@getnada.com,+65 88888898,0x0000000000000000000000000000000000000000000000000000000000000010,1242
SERIAL-2018-08-01-101,2018-05-01T00:00:00+08:11,Master of Electrical,Mechanical,DID:SG-UEN:M85748585G,https://electricalacademy.com,electrical@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000011,Addison John,DID:SG-NRIC:S98748589A,12recipient@getnada.com,+65 88888899,0x0000000000000000000000000000000000000000000000000000000000000011,1243
SERIAL-2018-08-01-100,2018-08-06T00:00:00+08:12,Master of Electronics,Electronics Academy,DID:SG-UEN:N85968574H,https://electronicsacademy.com,electronics@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000012,Gene Sutton,DID:SG-NRIC:S77788888A,13recipient@getnada.com,+65 88888900,0x0000000000000000000000000000000000000000000000000000000000000012,1244
SERIAL-2018-08-01-99,2018-08-01T00:00:00+08:13,Master of Architecture,Architecture Academy,DID:SG-UEN:U52635122D,https://architectureacademy.com,architecture@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000013,Willy Bailey,DID:SG-NRIC:S36369696A,14recipient@getnada.com,+65 88888901,0x0000000000000000000000000000000000000000000000000000000000000013,1245
SERIAL-2018-08-01-98,2018-08-01T00:00:00+08:14,Master Academy Learning Centre,Learning Center Academy,DID:SG-UEN:P85968584E,https://learningcentreacademy.com,learningcenter@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000014,Lesley Simpson,DID:SG-NRIC:S85748585A,15recipient@getnada.com,+65 88888902,0x0000000000000000000000000000000000000000000000000000000000000014,1246
SERIAL-2018-08-01-97,2018-08-01T00:00:00+08:15,Master of Salesforce,Salesforce Academy,DID:SG-UEN:O23698525D,https://salesforceacademy.com,salesforce@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000015,Jaime Chase,DID:SG-NRIC:S36857411A,16recipient@getnada.com,+65 88888903,0x0000000000000000000000000000000000000000000000000000000000000015,1247
SERIAL-2018-08-01-96,2018-04-05T00:00:00+08:16,Master Music,Music Academy,DID:SG-UEN:S85857145T,https://musiceacademy.com,music@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000016,Terry Dudley,DID:SG-NRIC:S14502452A,17recipient@getnada.com,+65 88888904,0x0000000000000000000000000000000000000000000000000000000000000016,1248
SERIAL-2018-08-01-95,2018-08-01T00:00:00+08:17,Master of Maths,Maths Academy,DID:SG-UEN:K85968585G,https://mathseacademy.com,maths@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000017,Haiden Burnett,DID:SG-NRIC:S33669952A,18recipient@getnada.com,+65 88888905,0x0000000000000000000000000000000000000000000000000000000000000017,1249
SERIAL-2018-08-01-94,2018-08-29T00:00:00+08:18,Master of Pharmacy,Pharmacy Academy,DID:SG-UEN:K71828514V,https://pharmacyacademy.com,pharmacy@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000018,Blair Howard,DID:SG-NRIC:A12365555B,19recipient@getnada.com,+65 88888906,0x0000000000000000000000000000000000000000000000000000000000000018,1250
SERIAL-2018-08-01-93,2018-11-26T00:00:00+08:19,Master of Medical,Medical Academy,DID:SG-UEN:N452045444,https://medicalacademy.com,medical@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000019,Avery Gibson,DID:SG-NRIC:B54152525A,20recipient@getnada.com,+65 88888907,0x0000000000000000000000000000000000000000000000000000000000000019,1251
SERIAL-2018-08-01-92,2018-10-15T00:00:00+08:20,Master of CA,CA Academy,DID:SG-UEN:B858787787,https://caacademy.com,ca@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000020,Denny Hussain,DID:SG-NRIC:C85748585D,21recipient@getnada.com,+65 88888908,0x0000000000000000000000000000000000000000000000000000000000000020,1252
SERIAL-2018-08-01-91,2018-10-11T00:00:00+08:21,Master of Law,Law Academy,DID:SG-UEN:J858825825,https://lawacademy.com,law@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000021,Caden Phillips,DID:SG-NRIC:F52635222G,22recipient@getnada.com,+65 88888909,0x0000000000000000000000000000000000000000000000000000000000000021,1253
SERIAL-2018-08-01-90,2018-06-15T00:00:00+08:22,Business Analytics Certificate,Business Analytics Certificate Academy,DID:SG-UEN:L892581283,https://businessanalyticsacademy.com,businessanalytics@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000022,Reed Mathews,DID:SG-NRIC:D85784855R,23recipient@getnada.com,+65 88888910,0x0000000000000000000000000000000000000000000000000000000000000022,1254
SERIAL-2018-08-01-89,2018-08-01T00:00:00+08:23,MS/MBA: Engineering Sciences,Engineering Science Academy,DID:SG-UEN:G85714852K,https://enggscienceacademy.com,enggscience@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000023,Dane Henry,DID:SG-NRIC:M85968528E,24recipient@getnada.com,+65 88888911,0x0000000000000000000000000000000000000000000000000000000000000023,1255
SERIAL-2018-08-01-88,2018-08-01T00:00:00+08:24,Master in Design Engineering,Design Engineering Academy,DID:SG-UEN:698989888L,https://designenggacademy.com,designengg@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000024,Haiden Petersen,DID:SG-NRIC:T85968585F,25recipient@getnada.com,+65 88888912,0x0000000000000000000000000000000000000000000000000000000000000024,1256
SERIAL-2018-08-01-87,2018-08-01T00:00:00+08:25,Applied Physics,Applied Physics Academy,DID:SG-UEN:L857484878,https://appliedphysicsacademy.com,appliedphysics@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000025,Bailey Chan,DID:SG-NRIC:S96857842F,26recipient@getnada.com,+65 88888913,0x0000000000000000000000000000000000000000000000000000000000000025,1257
SERIAL-2018-08-01-86,2018-08-01T00:00:00+08:26,Applied Mathematics,Applied Mathematics Academy,DID:SG-UEN:H59852847L,https://appliedmathsacademy.com,appliedmaths@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000026,Avery Kramer,DID:SG-NRIC:Y85865124T,27recipient@getnada.com,+65 88888914,0x0000000000000000000000000000000000000000000000000000000000000026,1258
SERIAL-2018-08-01-85,2018-08-01T00:00:00+08:27,Bioengineering,Bioengineering Academy,DID:SG-UEN:M41526365,https://bioengineeringsacademy.com,bioengg@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000027,Brett Clark,DID:SG-NRIC:L89555455K,28recipient@getnada.com,+65 88888915,0x0000000000000000000000000000000000000000000000000000000000000027,1259
SERIAL-2018-08-01-84,2018-08-01T00:00:00+08:28,Bachelor of Arts,Arts Academy,DID:SG-UEN:O85785877,https://artsacademy.com,arts@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000028,Val Foster,DID:SG-NRIC:P85748596K,29recipient@getnada.com,+65 88888916,0x0000000000000000000000000000000000000000000000000000000000000028,1260
SERIAL-2018-08-01-83,2018-08-01T00:00:00+08:29,Philosophy M.A.,Philosophy Academy,DID:SG-UEN:O85785878,https://philosophyacademy.com,philosophy@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000029,Sam Smith,DID:SG-NRIC:Lo45454445,30recipient@getnada.com,+65 88888917,0x0000000000000000000000000000000000000000000000000000000000000030,1261
SERIAL-2018-08-01-82,2018-08-01T00:00:00+08:30,Political Science M.A.,Political Science Academy,DID:SG-UEN:O85785879,https://politicalscienceacademy.com,politicalscience@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000030,Carol Watkins,DID:SG-NRIC:M54852855K,31recipient@getnada.com,+65 88888918,0x0000000000000000000000000000000000000000000000000000000000000031,1262
SERIAL-2018-08-01-81,2018-08-01T00:00:00+08:31,Sociology M.A.,Sociology Academy,DID:SG-UEN:O85785880,https://sociologyacademy.com,sociology@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000031,'Skyler O''neal',DID:SG-NRIC:H74147877G,32recipient@getnada.com,+65 88888919,0x0000000000000000000000000000000000000000000000000000000000000032,1263
SERIAL-2018-08-01-80,2018-08-01T00:00:00+08:32,History M.A.,History Academy,DID:SG-UEN:O85785881,https://historyacademy.com,history@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000032,Kerry Shaw,DID:SG-NRIC:F875877775,33recipient@getnada.com,+65 88888920,0x0000000000000000000000000000000000000000000000000000000000000033,1264
SERIAL-2018-08-01-79,2018-08-01T00:00:00+08:33,European Studies M.A.,European Academy,DID:SG-UEN:O85785882,https://europeanacademy.com,european@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000033,Alex Ellis,DID:SG-NRIC:O858778778,34recipient@getnada.com,+65 88888921,0x0000000000000000000000000000000000000000000000000000000000000034,1265
SERIAL-2018-08-01-78,2018-08-01T00:00:00+08:34,Waste Management Engineering M.Sc.,Waste Managment Academy,DID:SG-UEN:O85785883,https://wastemgmtacademy.com,wastemgmt@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000034,Jackie Poole,DID:SG-NRIC:U877877777,35recipient@getnada.com,+65 88888922,0x0000000000000000000000000000000000000000000000000000000000000035,1266
SERIAL-2018-08-01-77,2018-08-01T00:00:00+08:35,Applied Geosciences B.Sc.,Applied Geosciences Academy,DID:SG-UEN:O85785884,https://appliedgeoscienceacademy.com,appliedgeoscience@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000035,Bev Fraser,DID:SG-NRIC:U877877778,36recipient@getnada.com,+65 88888923,0x0000000000000000000000000000000000000000000000000000000000000036,1267
SERIAL-2018-08-01-76,2018-08-01T00:00:00+08:36,Biology B.Sc.,Biology Academy,DID:SG-UEN:O85785885,https://biologyacademy.com,biology@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000036,Nicky Grant,DID:SG-NRIC:U877877779,37recipient@getnada.com,+65 88888924,0x0000000000000000000000000000000000000000000000000000000000000037,1268
SERIAL-2018-08-01-75,2018-08-01T00:00:00+08:37,Chemistry B.Sc.,Chemistry Academy,DID:SG-UEN:O85785886,https://chemistryacademy.com,chemistry@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000037,Angel Trevino,DID:SG-NRIC:U877877780,38recipient@getnada.com,+65 88888925,0x0000000000000000000000000000000000000000000000000000000000000038,1269
SERIAL-2018-08-01-74,2018-08-01T00:00:00+08:38,Computational Social Systems M.Sc.,Computational Social Systems Academy,DID:SG-UEN:O85785887,https://computationalscienceacademy.com,computationalscience@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000038,Danny Coffey,DID:SG-NRIC:U877877781,39recipient@getnada.com,+65 88888926,0x0000000000000000000000000000000000000000000000000000000000000039,1270
SERIAL-2018-08-01-73,2018-08-01T00:00:00+08:39,Data Science M.Sc.,Data Science Academy,DID:SG-UEN:O85785888,https://datascienceacademy.com,datascience@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000039,Mell Vargas,DID:SG-NRIC:U877877782,40recipient@getnada.com,+65 88888927,0x0000000000000000000000000000000000000000000000000000000000000040,1271
SERIAL-2018-08-01-72,2018-08-01T00:00:00+08:40,Power Engineering,Power Engineering Academy,DID:SG-UEN:O85785889,https://powerenggacademy.com,powerengg@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000040,Amy Day,DID:SG-NRIC:U877877783,41recipient@getnada.com,+65 88888928,0x0000000000000000000000000000000000000000000000000000000000000041,1272
SERIAL-2018-08-01-71,2018-08-01T00:00:00+08:41,Energy Engineering M.Sc.,Energy Engineering  Academy,DID:SG-UEN:O85785890,https://energyenggacademy.com,energyengg@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000041,Courtney Bell,DID:SG-NRIC:U877877784,42recipient@getnada.com,+65 88888929,0x0000000000000000000000000000000000000000000000000000000000000042,1273
SERIAL-2018-08-01-70,2018-08-01T00:00:00+08:42,Georesources Management M.Sc.,Georesources Management Academy,DID:SG-UEN:O85785891,https://georesourcemgmtacademy.com,georesourcemgmt@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000042,Dayana Heath,DID:SG-NRIC:U845477785,43recipient@getnada.com,+65 88888930,0x0000000000000000000000000000000000000000000000000000000000000043,1274
SERIAL-2018-08-01-69,2018-08-01T00:00:00+08:43,Laboratory Animal Science M.Sc.,Laboratory Animal Science Academy,DID:SG-UEN:O85785892,https://labanimalscienceacademy.com,labanimalscience@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000043,Sloan Whitley,DID:SG-NRIC:U787877786,44recipient@getnada.com,+65 88888931,0x0000000000000000000000000000000000000000000000000000000000000044,1275
SERIAL-2018-08-01-68,2018-08-01T00:00:00+08:44,Logistics M.Sc.,Logistics Academy,DID:SG-UEN:O85785893,https://logitsticsacademy.com,logitstics@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000044,Sam Mitchell,DID:SG-NRIC:U785877787,45recipient@getnada.com,+65 88888932,0x0000000000000000000000000000000000000000000000000000000000000045,1276
SERIAL-2018-08-01-67,2018-08-01T00:00:00+08:45,Psychology,Psychology Academy,DID:SG-UEN:O85785894,https://psychologyacademy.com,psychology@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000045,Ali Kirkland,DID:SG-NRIC:U785877788,46recipient@getnada.com,+65 88888933,0x0000000000000000000000000000000000000000000000000000000000000046,1277
SERIAL-2018-08-01-66,2018-08-01T00:00:00+08:46,Human Resource Management,HR Academy,DID:SG-UEN:O85785895,https://hracademy.com,hracademy@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000046,Aliyah Lester,DID:SG-NRIC:U785877789,47recipient@getnada.com,+65 88888934,0x0000000000000000000000000000000000000000000000000000000000000047,1278
SERIAL-2018-08-01-65,2018-08-01T00:00:00+08:47,Business Administration,Business Administration Academy,DID:SG-UEN:O85785896,https://businessadministrationacademy.com,businessadministration@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000047,Caden Fernandez,DID:SG-NRIC:U785877790,48recipient@getnada.com,+65 88888935,0x0000000000000000000000000000000000000000000000000000000000000048,1279
SERIAL-2018-08-01-64,2018-08-01T00:00:00+08:48,Kinesiology,Kinesiology Academy,DID:SG-UEN:O85785897,https://kinesiologyacademy.com,kinesiology@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000048,Mel Fry,DID:SG-NRIC:U785877791,49recipient@getnada.com,+65 88888936,0x0000000000000000000000000000000000000000000000000000000000000049,1280
SERIAL-2018-08-01-63,2018-08-01T00:00:00+08:49,Accounting,Accounting Academy,DID:SG-UEN:O85785898,https://accountingacademy.com,accounting@getnada.com,DNS-TXT,example.com,0x0000000000000000000000000000000000000000000000000000000000000049,Phoenix Booth,DID:SG-NRIC:U785877792,50recipient@getnada.com,+65 88888937,0x0000000000000000000000000000000000000000000000000000000000000050,1281
